i	arc	where	status	verdict	note	quote
134	B199_metallic_exponent_law		LEAD	OPEN_LATER	B1039_phi_fixed_and_metallic_exponent and B1043/B1045 exist on another head (not on main); may supply the F_p point — unharvested	"""F_p Newton has an empty basin (0 hits in 1500-4000 seeds) -> no exact F_p point could be produced"" (frontier/B199_metallic_exponent_law/FINDINGS.md:83-84)"
137	B201_silver_sl3_charvar		LEAD	NOISE		"""Part 2 (DEFERRED, not banked): the per-component peripheral A-variety relations ... are not extracted here -- my quick peripheral pipeline failed its figure-eight M^3=L validation gate, so per verify-don't-trust nothing from it is banked"" (frontier/B201_silver_sl3_charvar/FINDINGS.md:6-8, 35-44)"
138	B201_silver_sl3_charvar		REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"""The correct next step (recorded, not run here): derive explicit 2-parameter parametrizations ..."" (frontier/B201_silver_sl3_charvar/FINDINGS.md:46-47)"
140	B204_metallic_wrt_period		REGISTRY_ECHO	SUPERSEDED	B204's 'normalization unresolved' is resolved by B771 cell OI-063 (RESOLVED-A: all-t symbolic Gauss-sum proof of P(gamma) = lcm(t-2,t+2)/content(gamma))	"""a direct numerical re-implementation of the evaluated (4.8) did NOT reproduce |Z_k| ... an unresolved convention/normalization bug"" (frontier/B204_metallic_wrt_period/NOVELTY.md:88-91)"
141	B204_metallic_wrt_period		REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"""Two prior-art clusters were NOT retrieved and are the highest-probability hiding places"" (frontier/B204_metallic_wrt_period/NOVELTY.md:61-63)"
143	B205_metallic_quantum_trace_map		REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"""A ... 'quantum metallic mean' ... is NOT established here and is suspected already-known (MGO)"" (frontier/B205_metallic_quantum_trace_map/FINDINGS.md:35-37)"
144	B206_golden_spin_cover_e8		REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	"""Novelty UNCHECKED: the golden<->E8 link is even known in physics (Coldea et al. 2010 ...) ... whether this specific metallic-monodromy -> conductor-5 -> 2I framing is recorded needs a prior-art pass (L26). Do not claim novelty."" (frontier/B206_golden_spin_cover_e8/FINDINGS.md:53-56)"
147	B232_rho_n_plethysm	B232 FINDINGS.md, 'Update — the in-sandbox attempt is now made (exhausted)' paragraph	LEAD	NOISE	K008 restates	the stabilization lemma is now terminal NEEDS-SPECIALIST (the Procesi construction)
149	B233_synthesis_split_and_five	B233 FINDINGS.md, H13 'Honest status' paragraph	LEAD	NOISE		"""every axis"" is an extrapolation from 3 data points, not a theorem."
150	B236_coset_coincidence_pathA	B236 FINDINGS.md, 'Result' section, 4th bullet	LEAD	NOISE		The mechanism as a proposition ... is, to chat1's search, not stated — so it stands as a modest original organizing observation (not a deep theorem).
151	B240_golden_jones_integrality	B240 FINDINGS.md, 'Honest caveat' section	LEAD	NOISE	no Slavich χ verification anywhere	The observation Z = −2 = −χ(Slavich 4-manifold) is unverified: the raw sum Z is not the normalized WRT invariant, and χ appears in many formulas. HELD; not claimed.
152	B240_golden_jones_integrality	B240 FINDINGS.md, 'Verdict' paragraph	LEAD	NOISE		8_3 (braid index 7) and 10_3 (9) exceed the dense N=4 matrix ceiling and were not tested (reported, not dropped).
153	B252_chirality_obstruction	B252 FINDINGS.md, 'The break it test' section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	Nothing breaks 27↔27̄. The obstruction holds: the object has no intrinsic complex-conjugation-odd invariant.
154	B253_chirality_capability	chirality_capability.py:118 (Part B reason 2)	LEAD	OPEN_LATER	later cascade arcs (B565/B570 selection rules, B1145/B1146 fermion seat) build charge/fermion bookkeeping; none exhibits a dynamical 27 — claim stands, tracked	there is no dynamical 27 to be chiral or vector-like
157	B259_gravity_brick_wall_map	FINDINGS.md:41	LEAD	STANDS	B271 characterises wall #4 precisely and states no theorem closes it	the class-S 4d lift exists as a framework but is uncomputed for this object.
158	B262_t41_theory	FINDINGS.md:9 (also t41_theory.py:724-726)	LEAD	OPEN_LATER	B488/B489 later claim T[A_m]=U(1)^(2m-1) 'verified for m=1..8' (DGG-abelian) — whether computed or asserted there is what R36 could not tell; H1 laws verified	"Through the whole arc we *asserted* ""`T[4₁]` is abelian, U(1) + chirals"" on DGG's authority. We never computed it."
160	B264_e6_character_variety	NOVELTY.md:88 (re: B266, filed under B264's NOVELTY.md)	LEAD	NOISE		Not found in any reference: the *arithmetic selection rule* combining them
161	B265_e6_integrability	FINDINGS.md:~67 (Correction section)	LEAD	SUPERSEDED	B273 computed the e6 cup-product obstruction (vanishes identically; test_b273) — the 'not computed' sentence is stale in B265/B270	for `{4,8}` the obstruction is the `e₆`-bracket-coupled cup product `H¹×H¹→H²(e₆)`, which is **not computed**.
162	B268_e6_bridge_consolidation	wall_map_v2.py:76 (SKIPPED dict, wall3_chirality_ssb)	LEAD	CONSISTENT	B278 wall map v3 still lists it skipped	SSB of the amphicheiral `τ` as a chirality source | B252/B259 | never computed.
163	B268_e6_bridge_consolidation	wall_map_v2.py:78 (SKIPPED dict, wall4_4d_lift)	LEAD	STANDS	B271: no theorem closes wall #4	the class-S / 4-manifold lift of `T[4₁]`; never computed.
164	B270_integrability_cup_product	FINDINGS.md (Honest scope) — same sentence recurs in B265's FINDINGS.md correction	LEAD	SUPERSEDED	as #161 (B273)	for `{4,8}` the obstruction is the `e₆`-bracket-coupled cup product `H¹×H¹→H²(e₆)`, which is **not computed**
166	B272_verification_and_gaps	verification_and_gaps.py:1046-1049 (GAPS dict)	LEAD	SUPERSEDED	hypercharge/breaking chain later addressed (B862 global form, B1160 hypercharge forced; seat R10)	SM matter content / E6->SM breaking... Disposal of exotics, hypercharge, the breaking chain: unaddressed and absent from the map.
169	B281_crux_scoping		REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	FINDINGS.md 'Recommendation': 'Do not spend in-sandbox cycles attempting T[4_1; E6] (tool-gated, not constructively known).'
173	B289_cp_sign_law		LEAD	SUPERSEDED	B855 wrong_null.py and B995 census recompute the m003/m136/m135 extensions (B855 corrects m003 amphichirality)	B855 log entry: the m136/m135/m003 extensions of the CS sign law are explicitly flagged 'NOT verified in this arc (queued for independent recomputation)' — an absence claim about downstream extensions, not about B289's own m004 result
176	B296_seam_arc_verification	frontier/B296_seam_arc_verification/NOVELTY.md:25	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the framing (Dehn filling as boundary symmetry-breaking, the bulk/cusp ingredient split) was not found in the math or physics (3d-3d / Kodama) literature
177	B296_seam_arc_verification	frontier/B296_seam_arc_verification/NOVELTY.md:23	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the explicit identification with the ±π/6 figure-eight commutator phase is the candidate-new packaging — not located in the audit
178	B299_trinification_triality	frontier/B299_trinification_triality/FINDINGS.md:6	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	self-contained in origin-axiom (the matrices are embedded; no dependency on the external repo)
180	B300_cross_chat_sm_attempt	frontier/B300_cross_chat_sm_attempt/FINDINGS.md:35	LEAD	NOISE		the Friedmann law H²~ρ not forced — a clean internal negative
182	B302_multiplicity_hidden_z3	frontier/B302_multiplicity_hidden_z3/verdict.py:290	LEAD	NOISE		it does NOT derive three generations (firewalled, S045)
183	B302_multiplicity_hidden_z3	frontier/B302_multiplicity_hidden_z3/FINDINGS.md:43	UNSWEEPABLE	CONSISTENT	self-scoped; no arc derives three generations (B298 seven routes give 1 or 2)	it does not derive three generations
185	B306_principal_grading_cascade	frontier/B306_principal_grading_cascade/FINDINGS.md:29	LEAD	SUPERSEDED	B892 later exhibits a dim-14 centraliser su(3)+su(2)+u(1)^3 by a different construction (two measurements), B932 chain selection — B306's 'no clean centralizer' is scoped to principal gradings	Chat-1's 'dim-14 SU(3)×SU(2)×U(1)³' matches no clean centralizer (N=4 is dim 20, N=5 is dim 16)
186	B307_totally_real_obstruction	frontier/B307_totally_real_obstruction/FINDINGS.md:16	LEAD	CONSISTENT	theorem (Reid/Neumann-Reid style) restated in later arcs; no counterexample	No hyperbolic knot can have a cyclic-cubic (C₃) trace field.
188	B308_yukawa_last_redoubt	frontier/B308_yukawa_last_redoubt/verdict.py:505 (INTERGENERATION_HIERARCHY_FORCED = False)	LEAD	NOISE		the inter-generation hierarchy is NOT forced by the object
191	B310_cascade_realization_exhausted	frontier/B310_cascade_realization_exhausted/FINDINGS.md:36	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the deformation realization at πi/3 spacing ... is not verified and is partly refutable
192	B311_cascade_branch_points	frontier/B311_cascade_branch_points/FINDINGS.md:52	LEAD	NOISE		The full physical realization of the chain remains the T[4₁;E₆] CRUX (specialist).
193	B312_face_iv_houses_the_form	frontier/B312_face_iv_houses_the_form/FINDINGS.md:225	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the level k=10 (and k=28) is a property of the ambient modular category SU(2)_k ... It is generic, not object-specifically selected by the figure-eight
194	B313_fibonacci_bridge_and_no_forced_choice	frontier/B313_fibonacci_bridge_and_no_forced_choice/FINDINGS.md:35	LEAD	NOISE		the genuine open target: S032-A ... prove no invariant of a single seed can force a discrete choice. (Its proof would strengthen the firewall, not cross it...)
198	B315_e7_exclusion_vs_heterotic	frontier/B315_e7_exclusion_vs_heterotic/FINDINGS.md:201	LEAD	GENERIC	terms too common (138 files); the group fact 2O is not SL(2,q) stands; deleted test_b731_noncongruence belongs to the retracted B731 non-congruence claim (B734), unrelated	no congruence quotient 2O ↔ SL(2,q)
204	B320_chat1_three_points	FINDINGS.md:23	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	you can't declare exhaustion while the mod-7 → Fano → G₂ → color-SU(3) computation sits unrun.
205	B320_chat1_three_points	FINDINGS.md:34	LEAD	NOISE		The one lead Chat-1 flagged as unrun is now run, and it is generic — exhaustion stands.
206	B321_seam_geometry_adjudication	FINDINGS.md:42	LEAD	NOISE	OPEN_PROBLEMS restates	the RELATIONAL self-realizability... via the intrinsic commensurator ℤ/3 ... is UNTESTED, and is where a genuine '3' could live.
207	B329_mckay_branching_embeddings	FINDINGS.md:50	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	the 2T branching is PARTIALLY-KNOWN (routine corollary, explicit table apparently unpublished — NEEDS-SPECIALIST to close, circle: Griess / Reeder / Gross).
209	B330_s032a_galois_symmetrization	FINDINGS.md:38	LEAD	NOISE	W2-147 mentions the same untested list	Untested classes (the residual, named). Reidemeister/Ptolemy torsion of the character-variety components; Chern–Simons / η-invariants; torsion of higher (n>3) cyclic and irregular covers; the SL(n≥3)/Falbel gluing-variety invariants; Bloch-group / scissors-congruence classes.
210	B332_two_letters_two_ends	FINDINGS.md:44	LEAD	NOISE	B930 overlap matrix computes overlaps of a different object	Overlap index [Γ : Γ∩gΓg⁻¹] = 3 — reported, not verified.
212	B367_value_map	frontier/B367_value_map/FINDINGS.md:5	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	outcome (B): NO uniform CRT-local product formula at the declared complexity
213	B367_value_map	frontier/B367_value_map/FINDINGS.md:45	LEAD	CONSISTENT	this IS the refutation of B361; B1047/B1048 seam cluster carry it forward; B361's verdict file does not (relay §1)	the local law (B361) is REFUTED at pair (3,4)
215	B374_level135_rung	frontier/B374_level135_rung/FINDINGS.md:49	LEAD	CONSISTENT	P2W6-PD22 re-examines the same existence law	N = 225: THE EXISTENCE LAW DIES (no invariant sector) ... none is invariant (cross-prime confirmed)
219	B381_twist_isolation	frontier/B381_twist_isolation/FINDINGS.md:11	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	NONE intertwines the theta lift into the canonical lift
223	B385_bright_dark_discriminator	FINDINGS.md Kill 1	LEAD	NOISE		No tabulated invariant is disjoint across the 12 pairs
224	B385_bright_dark_discriminator	FINDINGS.md title/status	LEAD	NOISE	own files	the discriminator is character-level
227	B387_forced_ratio_ladder	FINDINGS.md 2b section	REGISTRY_ECHO	REGISTRY_ECHO	hits only in index/ledger/verifier-table files (registry_split.py); spot-checked class: the claim is restated, nothing supplies the absent object	const(45)/const(15) = 0 ∉ {R1: 1, R2: φ-units, R3: Pisano-3 family, R4: level-3 family} — the KILL branch fires: no forced ratio in the graded-pair channel at 15→45
